"Table 2. Per Capita Personal Income, by Metropolitan Area, 2021–2023",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in United States,Percent change,,Rank in United States
"Greenville-Anderson, SC","51,744","53,156","55,747",245,2.7,4.9,237
"Gulfport-Biloxi, MS","45,852","45,479","48,268",348,-0.8,6.1,73
"Hagerstown-Martinsburg, MD-WV","51,811","52,195","55,041",250,0.7,5.5,155
"Hammond, LA","47,871","47,688","50,875",319,-0.4,6.7,34
"Hanford-Corcoran, CA","43,867","42,565","43,994",379,-3.0,3.4,348
"Harrisburg-Carlisle, PA","60,447","61,224","64,066",118,1.3,4.6,259
"Harrisonburg, VA","48,241","51,204","51,573",303,6.1,0.7,381
"Hartford-East Hartford-Middletown, CT","69,688","71,684","75,241",43,2.9,5.0,225
"Hattiesburg, MS","45,351","45,690","47,876",354,0.7,4.8,248
"Hickory-Lenoir-Morganton, NC","48,835","50,195","52,213",297,2.8,4.0,313
"Hilton Head Island-Bluffton, SC","67,583","71,058","75,647",41,5.1,6.5,48
"Hinesville, GA","40,817","39,944","41,210",382,-2.1,3.2,357
"Homosassa Springs, FL","45,422","44,901","47,178",361,-1.1,5.1,213
"Hot Springs, AR","48,218","49,641","52,506",293,3.0,5.8,113
"Houma-Thibodaux, LA","50,045","51,635","55,657",246,3.2,7.8,5
"Houston-The Woodlands-Sugar Land, TX","65,196","68,808","72,453",54,5.5,5.3,173
"Huntington-Ashland, WV-KY-OH","47,477","48,290","51,286",311,1.7,6.2,66
"Huntsville, AL","58,950","60,687","64,089",117,2.9,5.6,128
"Idaho Falls, ID","59,318","55,449","57,483",212,-6.5,3.7,333
"Indianapolis-Carmel-Anderson, IN","67,119","69,545","72,494",53,3.6,4.2,298
"Iowa City, IA","62,267","63,673","65,563",104,2.3,3.0,367
"Ithaca, NY","50,211","51,589","54,159",263,2.7,5.0,224
"Jackson, MI","47,084","46,541","48,818",341,-1.2,4.9,236
"Jackson, MS","53,345","54,710","58,104",197,2.6,6.2,67
"Jackson, TN","49,363","49,283","52,273",296,-0.2,6.1,83
"Jacksonville, FL","60,264","62,107","65,324",105,3.1,5.2,196
"Jacksonville, NC","51,268","51,772","53,594",276,1.0,3.5,342
